timestamp,syscall,file,duration,process
17:24:17.284655,open,/bin/bash,6e-06,bash.2596569
17:24:17.284667,open,/bin/bash,5e-06,bash.2596569
17:24:17.284800,open,/dev/dtracehelper,1.4e-05,bash.2596569
17:24:17.284811,access,/AppleInternal/XBS/.isChrooted,1e-06,bash.2596569
17:24:17.284956,getattrlist,/bin/bash,4e-06,bash.2596569
17:24:17.284959,access,/bin,3e-06,bash.2596569
17:24:17.284961,open,/bin,3e-06,bash.2596569
17:24:17.284968,open,/bin/Info.plist,1e-06,bash.2596569
17:24:17.285071,open,/dev/tty,1.2e-05,bash.2596569
17:24:17.285110,open,/usr/share/locale/en_US.UTF-8/LC_NUMERIC,3.3e-05,bash.2596569
17:24:17.285648,getattrlist,/bin/bash,6e-06,bash.2596569
17:24:17.285652,access,/bin,4e-06,bash.2596569
17:24:17.285655,open,/bin,3e-06,bash.2596569
17:24:17.285663,open,/bin/Info.plist,1e-06,bash.2596569
17:24:17.285883,access,/private/var/db/uuidtext/dsc/D7397D7F8DF9392081A7C0A144BE9C51,1e-05,logd.2596296
17:24:17.285898,openat,//Library/Preferences/Logging/com.apple.diagnosticd.filter.plist,6e-06,bash.2596569
17:24:17.286812,execve,/bin/ps,0.00028,bash.2596569
17:24:17.286891,fsgetpath,/usr/lib/dyld,3e-06,ps.2596570
17:24:17.287000,fsgetpath,/usr/lib/dyld,2e-06,ps.2596570
17:24:17.287038,fsgetpath,/bin/ps,2e-06,ps.2596570
17:24:17.287039,fsgetpath,/usr/lib/dyld,2e-06,ps.2596570
17:24:17.287061,openat,/../../System/Volumes/Preboot/Cryptexes/OS,6e-06,ps.2596570
17:24:17.287063,fstatat64,/System/Library/dyld,2e-06,ps.2596570
17:24:17.287067,openat,/System/Library/dyld,4e-06,ps.2596570
17:24:17.287071,fsgetpath,/System/Volumes/Preboot/Cryptexes/OS/System/Library/dyld/dyld_shared_cache_arm64e,1e-06,ps.2596570
17:24:17.287153,stat64,/bin/ps,6e-06,ps.2596570
17:24:17.287159,open,/bin/ps,7e-06,ps.2596570
